PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,%Activity at 18.75 uM_Mean,%Activity at 18.75 uM_1,%Activity at 18.75 uM_2,%Activity at 18.75 uM_3,%Activity at 18.75 uM_4,Value_1,Value_2,Value_3,Value_4,Mean High,STD Deviation High,Mean Low,STD Deviation Low,PUBCHEM_SMILES
1,85146295.0,44142181.0,C=CS(=O)(=O)N(CC1=CC=CC=C1Br)[C@@H](CC2=CC=CC=C2)CO,Inactive,21.0,,,35.14,34.86,36.09,33.44,36.18,579.04,568.21,591.53,567.48,0,9.38,100,0.43,C=CS(=O)(=O)N(CC1=CC=CC=C1Br)[C@@H](CC2=CC=CC=C2)CO
2,14744380.0,3417593.0,COC1=CC(=CC(=C1OC)OC)C(C[N+](=O)[O-])C2=C(C=C3N2C=CC=C3)C4=CC=CC=C4,Inactive,21.0,,,-37.99,-29.9,-50.67,-38.2,-33.2,1148.02,1330.56,1220.99,1177.05,0,9.38,100,0.43,COC1=CC(=CC(=C1OC)OC)C(C[N+](=O)[O-])C2=C(C=C3N2C=CC=C3)C4=CC=CC=C4
3,99356260.0,285027.0,C1CN2C3=C(C=C(C=C3)Cl)C4=CC=CC=C4C2=N1,Inactive,21.0,,,-58.96,-52.17,-67.67,-52.47,-63.55,1343.67,1479.88,1346.37,1443.7,0,9.38,100,0.43,C1CN2C3=C(C=C(C=C3)Cl)C4=CC=CC=C4C2=N1
4,22413392.0,4170685.0,COC1=CC=CC(=C1)C2CC3C(=O)C=CC2N3CC4=CC=CC=C4,Active,30.0,,,57.32,56.44,57.43,56.8,58.6,389.47,380.7,386.25,370.43,0,9.38,100,0.43,COC1=CC=CC(=C1)C2CC3C(=O)C=CC2N3CC4=CC=CC=C4
5,85271027.0,2361547.0,COC1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CCCC(=O)NC3=C(C=CC(=C3)Cl)C(=O)O,Active,30.0,,,98.17,98.1,97.71,98.66,98.21,23.38,26.82,18.5,22.47,0,9.38,100,0.43,COC1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CCCC(=O)NC3=C(C=CC(=C3)Cl)C(=O)O
6,14729356.0,1191331.0,C1CN(CCN1CC2=CC=CC=C2)C3=C(C(=O)N(C3=O)CC4=CC=CC=C4)Cl,Inactive,21.0,,,1.78,1.2,-1.32,7.61,-0.38,874.75,896.95,818.43,888.68,0,9.38,100,0.43,C1CN(CCN1CC2=CC=CC=C2)C3=C(C(=O)N(C3=O)CC4=CC=CC=C4)Cl
7,859633.0,660935.0,CCOC(=O)C1=C(OC2=C(C1=O)C(=C(C(=C2F)F)F)F)C,Active,30.0,,,65.84,73.41,77.33,53.44,59.18,240.33,205.87,415.77,365.37,0,9.38,100,0.43,CCOC(=O)C1=C(OC2=C(C1=O)C(=C(C(=C2F)F)F)F)C
8,17513823.0,3715215.0,C=C(C(CC(=O)C1=CC=CC=C1)C2=CC=CC=C2)C(=O)C3=CC=CC=C3,Active,30.0,,,56.57,60.64,64.29,48.34,53,352.56,320.45,460.59,419.65,0,9.38,100,0.43,C=C(C(CC(=O)C1=CC=CC=C1)C2=CC=CC=C2)C(=O)C3=CC=CC=C3
9,49674561.0,24761716.0,[2H]C(CCOS(=O)(=O)N)C1=CC=C(C=C1)C(C)(C)C,Active,30.0,,,63.45,64.13,60.53,63.13,66,321.88,353.52,330.62,305.41,0,9.38,100,0.43,[2H]C(CCOS(=O)(=O)N)C1=CC=C(C=C1)C(C)(C)C
10,24837254.0,3280153.0,C1=CC=C2C(=C1)N=C(S2)C(=CC3=CC=C(C=C3)C(=O)O)C4=NC5=CC=CC=C5S4,Active,30.0,,,51.82,47.83,48.31,54.47,56.67,465.04,460.88,406.7,387.42,0,9.38,100,0.43,C1=CC=C2C(=C1)N=C(S2)C(=CC3=CC=C(C=C3)C(=O)O)C4=NC5=CC=CC=C5S4
